Profile_mean numeric,Profile_stdev numeric,Profile_skewness numeric,Profile_kurtosis numeric,DM_mean numeric,DM_stdev numeric,DM_skewness numeric,DM_kurtosis numeric,class
140.5625,55.68378214,1.641439769,1.092237583,3.199832776,19.11042633,11.11480141,76.21920052,0
102.5078125,58.88243001,2.341329335,1.276798072,1.677257525,14.86014572,13.71575635,129.3705552,0
103.015625,39.34164944,2.199339546,2.84305041,3.121237458,21.74466875,10.87509163,65.14888471,0
136.75,57.17844874,1.807596543,1.155647612,3.642976589,20.9592803,10.03576852,55.57063627,0
88.7265625,40.67222541,2.47687726,2.915377673,1.178929766,11.4687196,17.40884245,254.5442814,0
93.5703125,46.69811352,2.407916031,2.208607098,1.636287625,14.54507425,13.76101801,133.3709799,0
119.484375,48.76505927,1.907471401,1.679718408,0.99916388,9.279612239,22.34549979,481.7335425,0
130.3828125,39.84405561,1.717688422,2.181426429,1.220735786,14.37894124,16.67872563,200.2134321,0
107.25,52.62707834,2.328699206,1.962233363,2.331939799,14.48685311,12.14027405,109.9494812,0
107.2578125,39.49648839,2.341893142,2.954763105,4.079431438,24.98041798,10.53634956,59.76171349,0
142.078125,45.28807262,1.555682755,2.075838487,5.376254181,29.00989748,9.21553546,39.80836895,0
133.2578125,44.05824378,1.794951319,1.907247487,1.632107023,12.00780568,15.11133624,197.5204232,0
134.9609375,49.55432662,1.740707348,1.711416379,10.69648829,41.34204361,7.03320375,16.10818185,0
117.9453125,45.50657724,2.201448745,2.453345439,2.836120401,23.11834971,12.08248152,84.45256747,0
138.1796875,51.5244835,1.844158852,1.838683154,6.330267559,31.57634673,8.29520947,28.12028577,0
114.3671875,51.94571552,1.781512277,1.503901894,2.738294314,17.19189079,12.18988207,98.58887878,0
109.640625,49.01765217,2.013647011,1.535186206,1.508361204,12.07290134,16.50719517,225.4153948,0
100.8515625,51.74352161,2.269847973,1.78064524,2.841137124,21.63577754,11.4415115,73.56134463,0
136.09375,51.69100464,1.830102255,1.520069588,9.342809365,38.09639955,7.484707749,20.65062414,0
100.890625,51.89039446,2.503497709,1.765388179,3.883779264,23.04526673,10.09243725,54.25641598,0
105.4453125,41.13996851,2.018664982,2.112305657,3.551839465,20.75501684,10.87882191,70.49674621,0
95.8671875,42.05992212,2.202398098,2.595387775,1.83277592,12.24896949,14.38860061,179.2077468,0
117.3671875,53.90861351,2.133964622,1.386836904,6.018394649,24.76612335,7.947052835,27.49959121,0
106.6484375,56.36718209,2.254366253,1.525514374,2.43645485,18.40537062,12.51792929,98.83720096,0
112.71875,50.3012701,2.155402134,1.662875269,8.281772575,37.81001224,7.831096463,23.25318537,0
130.8515625,52.43285734,2.018607908,1.810771423,2.64632107,15.65443599,12.60343364,117.6501342,0
119.4375,52.87481531,1.873461914,1.331525694,2.365384615,16.49803188,12.14762151,96.73263252,0
123.2109375,51.07801208,2.055388,1.614600821,2.107023411,16.92177312,13.21960295,114.5355669,0
102.6171875,49.69235371,2.106450165,1.985211352,1.489130435,16.00441146,15.78580435,173.8098777,0
110.109375,41.31816988,1.970871579,2.474998591,1.010033445,13.02627521,17.80578043,233.1811119,0
99.9140625,43.91949797,2.351739682,2.573372177,0.619565217,9.440975862,23.24590871,477.6571936,0
128.34375,52.17210664,1.82673078,1.583628994,2.173913043,12.9939472,13.10502698,143.4870599,0
142.0546875,53.87315957,1.405238495,1.665939564,4.423076923,27.08351266,9.820927917,47.92100568,0
121.1328125,47.6326062,2.053371489,1.816804092,2.151337793,20.55243738,13.05973779,101.7240548,0
102.328125,48.98040255,2.19174059,1.589702666,1.898829431,13.83904002,14.7592083,174.1073488,0
147.8359375,53.62263651,1.744931585,1.503034809,2.692307692,17.08088101,11.98844759,94.17872062,0
108.0390625,34.91024257,2.197167743,3.613517474,3.899665552,23.72205203,10.64547957,62.86388827,0
107.875,37.33065932,2.372015941,3.273701837,1.173913043,12.01691346,17.67355934,254.6717137,0
118.84375,45.9319193,1.766768515,1.929569529,2.33277592,14.71602871,12.77344467,120.6466553,0
138.4609375,48.91716569,1.836419265,1.615642913,2.443143813,18.3133067,11.81216366,85.04621773,0
116.203125,47.34586165,2.087958005,1.769708278,3.606187291,18.94498977,10.1749143,61.20820132,0
121.8828125,53.04267461,2.076531902,1.509666947,2.116220736,16.58087621,12.0868724,92.98873715,0
125.2109375,51.17519729,2.015862469,1.406149227,1.147993311,12.41401211,17.20806689,230.1085292,0
107.90625,48.08414459,2.336857758,2.088396031,1.993311037,13.84106954,13.10866502,130.7216924,0
106.28125,43.02178545,2.284879187,2.823900647,1.610367893,17.25115554,15.24946292,153.9919318,0
106.3359375,45.05002035,2.29465628,2.395881865,1.200668896,12.38856143,16.44572145,211.3889656,0
125.734375,52.65772207,1.902527854,1.362253074,4.850334448,29.93619483,9.501106919,42.23198835,0
113.546875,49.50029346,2.006012382,1.589046956,2.407190635,14.42205142,12.44961293,115.664447,0
134.0390625,51.80045885,1.680166392,1.395069904,1.107859532,13.23858397,16.91506998,210.3972331,0
105.1171875,45.09202762,2.340859072,2.669944358,4.283444816,23.96731526,9.701812616,48.64426294,0
95.328125,44.66789069,2.262506255,2.547001408,2.694816054,17.9985973,12.2334467,99.77941189,0
119.3359375,47.506953,2.096327939,2.437603706,0.79264214,9.540907141,21.90580938,443.4903183,0
136.1875,51.95291588,1.805579407,1.309666294,0.849498328,9.677531027,21.87582372,433.367421,0
112.859375,55.10625168,2.050777354,1.387866818,3.032608696,19.69431374,10.40552187,60.01474627,0
108.625,52.74614915,2.329567596,1.861617509,2.304347826,16.18365586,12.91971018,116.9763594,0
113.953125,49.2214161,2.110734392,2.081678197,1.081103679,13.48209307,17.39535074,218.813196,0
141.96875,50.47089779,2.120985672,1.449221324,2.823578595,16.23818776,11.34701322,87.50955912,0
136.5,49.9327673,1.920634448,1.417574525,1.555183946,12.81353792,16.45360873,216.7900646,0
83.6796875,36.37928102,2.448542934,4.456496501,4.0409699,23.16912864,10.14595103,55.49098027,0
135.859375,51.93727202,1.941779955,1.425771794,20.77424749,52.77264803,5.87017823,8.584415154,0
