Profile_skewness numeric,DM_kurtosis numeric,class
1.641439769,76.21920052,0
2.341329335,129.3705552,0
2.199339546,65.14888471,0
1.807596543,55.57063627,0
2.47687726,254.5442814,0
2.407916031,133.3709799,0
1.907471401,481.7335425,0
1.717688422,200.2134321,0
2.328699206,109.9494812,0
2.341893142,59.76171349,0
1.555682755,39.80836895,0
1.794951319,197.5204232,0
1.740707348,16.10818185,0
2.201448745,84.45256747,0
1.844158852,28.12028577,0
1.781512277,98.58887878,0
2.013647011,225.4153948,0
2.269847973,73.56134463,0
1.830102255,20.65062414,0
3.423208148,5.639655739,1
2.503497709,54.25641598,0
2.018664982,70.49674621,0
2.202398098,179.2077468,0
2.133964622,27.49959121,0
2.254366253,98.83720096,0
2.155402134,23.25318537,0
2.018607908,117.6501342,0
1.873461914,96.73263252,0
2.055388,114.5355669,0
2.106450165,173.8098777,0
1.970871579,233.1811119,0
2.351739682,477.6571936,0
1.82673078,143.4870599,0
1.405238495,47.92100568,0
2.053371489,101.7240548,0
2.19174059,174.1073488,0
1.744931585,94.17872062,0
2.197167743,62.86388827,0
2.372015941,254.6717137,0
1.766768515,120.6466553,0
1.836419265,85.04621773,0
2.087958005,61.20820132,0
2.158935179,214.574005,1
2.076531902,92.98873715,0
2.015862469,230.1085292,0
2.336857758,130.7216924,0
2.284879187,153.9919318,0
2.29465628,211.3889656,0
1.902527854,42.23198835,0
2.006012382,115.664447,0
1.680166392,210.3972331,0
2.340859072,48.64426294,0
2.262506255,99.77941189,0
2.096327939,443.4903183,0
1.805579407,433.367421,0
2.050777354,60.01474627,0
2.329567596,116.9763594,0
2.110734392,218.813196,0
2.120985672,87.50955912,0
1.920634448,216.7900646,0
2.448542934,55.49098027,0
7.646098573,3.059895824,1
1.941779955,8.584415154,0
2.29457664,102.764572,0
2.012350331,188.245486,0
2.049150444,210.2550607,0
1.718449968,61.14541641,0
2.266064869,41.09318334,0
2.019389667,46.87649052,0
1.788919754,290.6459076,0
2.328237561,118.0001978,0
1.888841454,83.32349217,0
1.863458422,96.05907897,0
1.696778107,48.46360733,0
1.986713526,14.66155122,0
1.654085941,130.3721242,0
1.89193212,19.24964904,0
2.003987992,49.3826844,0
2.531290964,152.282339,0
1.861162138,39.79506672,0
2.07864032,52.82753247,0
1.762815383,203.1048661,0
2.128856981,48.80777867,0
2.597657279,275.2279382,0
1.962180335,97.34424703,0
1.908540761,100.8739602,0
2.946600084,10.41702109,0
2.019202904,142.0176844,0
2.408051603,152.9642305,0
1.824046408,119.719201,0
2.287832311,90.34755517,0
2.377954625,73.27642504,0
7.564049416,0.855127322,1
3.063319864,30.67502359,1
1.921268314,0.793813571,0
1.948088829,341.6378018,0
3.033668374,73.93713446,0
1.925790674,58.83360521,0
2.501229256,51.60550253,0
2.315825488,129.710342,0
2.221791866,2.84833934,1
2.212544481,13.48095541,0
2.196409738,114.988513,0
1.912004361,69.08707892,0
2.46268947,99.24462236,0
1.956625546,200.7620642,0
2.102531887,65.11572816,0
2.76383474,157.0216358,0
1.56996634,43.75696398,0
1.931117064,87.68784037,0
6.079486001,4.549108253,1
1.889034937,34.7818957,0
2.122934927,42.27296595,0
1.775665867,53.75731896,0
1.993928798,27.41947542,0
2.099252356,250.7421418,0
2.304848486,107.8778444,0
2.208049413,34.90510643,0
1.676955704,12.66950397,0
2.593626378,78.30690176,0
2.246344925,148.9592281,0
2.142782655,83.32900304,0
2.544017832,163.8848082,0
1.674173331,54.70621772,0
2.705357558,81.74168977,0
2.605476298,130.7318631,0
2.326538813,234.2901178,0
2.57685729,176.1701674,0
1.978681468,84.8306563,0
1.911402125,145.7420747,0
2.456646918,30.9216561,0
2.177836204,145.3851247,0
8.322716739,3.312157196,1
2.521361224,131.3217956,0
1.924088129,0.939778595,0
1.380064206,60.05175677,0
1.944994983,153.656387,0
2.215327991,44.34035244,0
2.127715457,81.86171958,0
1.6274107,234.5641164,0
1.661549512,92.21889546,0
1.727160607,129.5935271,0
2.245187204,63.17973391,0
2.096769701,141.6002031,0
1.994681916,141.2596108,0
4.764750593,4.91788903,1
6.585849617,2.323687704,1
1.826900935,54.67334789,0
1.874081716,49.81531032,0
1.649653759,161.0578233,0
2.121997723,79.28402686,0
2.3272885,92.09288075,0
1.645989646,208.9471785,0
2.095259168,99.50868865,0
2.483782419,165.3829421,0
1.976303442,8.338765945,0
2.204703045,403.2775968,0
2.661777092,124.0123738,0
2.257312808,167.9763045,0
1.868674859,61.22798422,0
2.544643102,209.6080714,0
1.743627334,4.875521195,0
2.017521775,67.98493355,0
2.314222352,83.15666742,0
2.005330111,92.48185409,0
2.538589843,88.89001207,0
1.908109745,101.6697649,0
1.806317231,108.8863352,0
2.378071006,89.99357302,0
1.736251759,90.08509419,0
2.315003056,80.40272354,0
1.832275982,15.07636795,0
1.711351789,52.84528775,0
1.80205845,17.79038011,0
1.911003589,67.51462306,0
1.858610319,196.6178345,0
2.284934547,127.4227836,0
1.884024433,34.96934654,0
4.811571484,3.282244649,1
2.041784406,130.7870622,0
1.89251492,108.1696382,0
2.655415696,242.0043039,0
2.151961843,34.87549034,0
2.57908504,90.61681618,0
2.030757442,329.7453663,0
1.79548362,152.6404581,0
2.848966575,201.2988548,0
1.971749024,109.282841,0
2.031309278,8.867843928,0
1.902383099,67.18014233,0
2.413500174,68.28715552,0
1.980189671,112.6038989,0
2.336318515,154.8142235,0
1.665491403,15.6415534,0
1.911065416,33.23988041,0
2.092231027,6.160544828,0
1.730425383,216.7754243,0
1.892810185,52.18043769,0
2.589388602,181.9781767,0
2.095185632,163.6107363,0
2.210352067,314.7686472,0
1.841803607,56.1552064,0
1.878445723,73.97742389,0
2.050042971,68.62815438,0
2.365796328,8.838867138,1
1.876516244,362.5367007,0
1.778280118,95.41008351,0
1.938242368,161.908087,0
1.935598245,130.6920163,0
2.100690919,11.64255108,0
1.694845564,150.6117209,0
1.645082838,96.21240195,0
1.995273951,263.5675865,0
2.201260936,117.8057497,0
2.287633487,705.2391034,0
2.042567697,351.9274644,0
2.443687566,226.9259669,0
1.818717246,18.93296423,0
2.348269476,103.2551444,0
1.900993526,13.83387957,0
2.264770975,64.98264577,0
2.172152719,101.3022808,0
2.238369629,5.353088647,0
2.35735803,33.23334694,0
1.794702687,13.04989691,0
2.457772192,63.63957001,0
2.082925685,111.1679648,0
7.216513022,0.757668867,1
1.900795106,170.2606753,0
1.932379585,60.73595732,0
2.628866258,145.2508594,0
1.95623013,68.27404081,0
2.158616123,49.00761633,0
1.953652581,70.02444353,0
2.008299958,99.65643997,0
1.842458421,267.4361728,0
1.830639421,69.39840702,0
2.162574162,20.10284503,0
4.051958096,10.91723507,1
2.316941993,13.93955353,0
1.380648585,48.70905591,0
1.642566478,218.7882219,0
2.066418781,113.3250496,0
1.997500659,110.4483489,0
2.181507503,225.7396456,0
2.447533671,42.964364,0
2.630782568,42.950087,0
2.048023482,27.59564925,0
2.708334648,28.6112298,0
1.813961251,76.08154561,0
2.363869538,152.1726471,0
1.867960224,127.0187503,0
2.001167302,164.0521021,0
2.15124938,29.2504258,0
2.565226762,88.77686988,1
2.197473923,14.48491974,0
2.151959229,162.8908205,0
1.769845182,98.76804529,0
2.253723789,158.1943152,0
2.211903312,48.8084659,0
2.231046335,67.9090596,0
1.921538158,92.70192162,0
2.196348725,57.71514313,0
1.638783218,124.981054,0
1.814340408,49.57419852,0
2.963944061,10.14156914,0
2.027464092,179.0988781,0
2.181901188,169.6035395,0
2.659992389,98.78175324,0
2.636910045,80.7410267,0
1.849272028,6.678834704,0
1.786777722,122.2646119,0
1.698915309,16.89293799,0
2.040180442,58.70917663,0
2.212761536,154.559351,0
2.117295216,94.49798793,0
1.614696106,166.9869454,0
2.149140178,135.1109073,0
2.57801228,141.527876,1
1.614207641,80.32884187,0
1.900658192,109.6371323,0
1.999685286,5.556350074,0
2.227182631,207.7108438,0
8.900655996,2.759031601,1
1.877430295,174.0580368,0
2.080895165,40.7077332,0
2.093575988,175.5640412,0
1.783193083,37.36638921,0
2.5619904,197.5277858,0
1.625834173,24.7757027,0
1.988906921,16.81377353,0
2.394193389,157.1903887,0
2.35061604,123.4474527,0
1.646655032,67.96710986,0
1.800733862,118.9975273,0
2.040235164,40.72448578,0
1.854788071,57.93792933,0
2.019198456,62.75996067,0
1.958823273,231.5200045,0
2.486521916,141.6483424,0
1.9893688,102.268886,0
1.890881851,31.31136494,0
1.923152129,17.57588314,0
2.293159861,109.5986307,1
1.995334115,51.68564572,0
1.624429626,115.9870031,0
2.057858009,92.96093593,0
2.15145283,67.03807428,0
2.072819771,122.4949678,0
2.349586272,82.81225259,0
1.854559448,271.5499773,0
1.938800069,55.51540837,0
2.312355129,84.97161646,0
2.766452931,134.5217641,0
1.839633427,36.00569663,0
1.79061681,83.82966552,0
1.90093236,158.1030637,0
2.063134296,200.8861866,0
1.963113887,42.03279705,0
2.394690373,232.3641674,0
2.023058592,78.70577498,0
1.987361995,51.34668886,0
2.128307155,65.87578641,0
2.112408271,167.3476777,0
2.042580757,27.62631731,0
2.060432537,170.16376,0
2.624284435,172.8949264,0
2.240632919,79.7849885,0
1.906317202,43.99688263,0
1.967186171,58.8009712,0
1.910996467,75.9800792,0
2.247413526,182.1358198,0
3.029617764,142.8711269,0
2.478071517,109.9471484,0
1.984916428,3.00882306,0
